bookId,title,authors,averageRating,isbn,isbn13,languageCode,numPages,ratingsCount,textReviewsCount,publicationDate,publisher,createdAt,updatedAt
1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,1563410907,9.78156E+12,en-US,288,253,17,6/1/05,Firebrand Books,4/15/20 11:06,4/15/20 11:06
1032,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,3.66,345479173,9.78035E+12,en-US,384,12748,948,12/28/04,Ballantine Books,4/15/20 11:06,4/15/20 11:06
1052,The Richest Man in Babylon,George S. Clason,4.26,451205367,9.78045E+12,eng,194,76451,3400,2/1/08,Berkley Books,4/15/20 11:06,4/15/20 11:06
1053,The Richest Man in Babylon,George S. Clason,4.26,1419349996,9.78142E+12,eng,4,86,15,6/17/05,Recorded Books  Inc.,4/15/20 11:06,4/15/20 11:06
1059,Shibumi,Trevanian/Gisela Stege,4.21,1400098033,9.7814E+12,eng,480,9498,637,5/10/05,Broadway Books,4/15/20 11:06,4/15/20 11:06
1067,1776,David McCullough,4.07,743226720,9.78074E+12,eng,386,166916,6243,7/4/06,Simon  Schuster,4/15/20 11:06,4/15/20 11:06
1068,1776,Peter  Stone/Sherman Edwards,4.22,140481397,9.78014E+12,eng,192,1299,30,11/18/76,Penguin Books,4/15/20 11:06,4/15/20 11:06
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.62,226014908,9.78023E+12,eng,284,31,5,7/15/00,University of Chicago Press,4/15/20 11:06,4/15/20 11:06
1078,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,1416500189,9.78142E+12,eng,418,200744,7656,3/4/09,Howard Publishing Co,4/15/20 11:06,4/15/20 11:06
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93,310258979,9.78031E+12,eng,5,26,2,3/15/05,Zondervan,4/15/20 11:06,4/15/20 11:06
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,60838582,9.78006E+12,eng,399,190039,4922,7/5/05,Harper Perennial,4/15/20 11:06,4/15/20 11:06
1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74,141006870,9.78014E+12,eng,384,811,77,4/4/02,Penguin Books,4/15/20 11:06,4/15/20 11:06
1103,Snow Flower and the Secret Fan,Lisa See,4.07,812968069,9.78081E+12,eng,269,297533,14935,2/21/06,Random House,4/15/20 11:06,4/15/20 11:06
1110,The Broker,John Grisham,3.78,385340540,9.78039E+12,eng,422,72361,2334,9/26/06,Delta,4/15/20 11:06,4/15/20 11:06
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51,394720245,9.78039E+12,eng,1344,11208,1237,7/12/75,Vintage,4/15/20 11:06,4/15/20 11:06
1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.75,345480600,9.78035E+12,eng,320,28,1,7/25/06,Ballantine Books,4/15/20 11:06,4/15/20 11:06
1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74,60193395,9.78006E+12,en-US,201,3877,275,6/10/99,HarperCollins Publishers  Inc.,4/15/20 11:06,4/15/20 11:06
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65,1579546013,9.78158E+12,en-US,288,401,63,4/1/05,Rodale Books,4/15/20 11:06,4/15/20 11:06
1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.95,972018417,9.78097E+12,eng,405,814,51,11/26/03,High Point Media,4/15/20 11:06,4/15/20 11:06
1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,471743674,9.78047E+12,en-US,245,228,16,10/1/05,John Wiley & Sons,4/15/20 11:06,4/15/20 11:06
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07,471430455,9.78047E+12,eng,432,39,1,4/18/03,Wiley,4/15/20 11:06,4/15/20 11:06
1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,805431578,9.78081E+12,eng,368,26,8,5/15/05,B Books,4/15/20 11:06,4/15/20 11:06
1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,3.99,679838864,9.78068E+12,en-US,68,11178,623,2/16/93,Random House Books for Young Readers,4/15/20 11:06,4/15/20 11:06
1169,Monkey Business,Sarah Mlynowski,3.67,373250711,9.78037E+12,eng,392,3379,67,9/24/04,Red Dress Ink,4/15/20 11:06,4/15/20 11:06
